carat,cut,color,clarity,depth,table,price,x,y,z,
1.38,Premium,J,SI1,59,59,5912,7.38,7.32,4.34,
0.52,Very,Good,G,VVS2,61.8,59,1911,5.13,5.16,3.18
0.36,Premium,F,VS2,62,59,629,4.51,4.56,2.81,
0.9,Very,Good,E,VS2,63.8,55,4598,6.11,6.18,3.92
0.24,Very,Good,E,VVS1,63.1,55,485,3.96,4,2.51
1.07,Ideal,F,VS1,62.1,55,7850,6.58,6.56,4.08,
0.31,Ideal,F,VVS1,62.3,54,840,4.34,4.36,2.71,
0.91,Very,Good,G,SI1,63.5,58,4081,6.15,6.04,3.87
0.31,Premium,G,VVS1,60.4,59,1046,4.41,4.37,2.65,
0.26,Good,E,VVS2,63.1,59,599,4.04,4.08,2.56,
